QUANTITYORDERED,PRICEEACH,ORDERDATE,MONTH_ID,YEAR_ID,CUSTOMERNAME
30,95.7,2/24/2003 0:00,2,2003,Land of Toys Inc.
34,81.35,5/7/2003 0:00,5,2003,Reims Collectables
41,94.74,7/1/2003 0:00,7,2003,Lyon Souveniers
45,83.26,8/25/2003 0:00,8,2003,Toys4GrownUps.com
49,100.0,10/10/2003 0:00,10,2003,Corporate Gift Ideas Co.
36,96.66,10/28/2003 0:00,10,2003,Technics Stores Inc.
29,86.13,11/11/2003 0:00,11,2003,Daedalus Designs Imports
48,100.0,11/18/2003 0:00,11,2003,Herkku Gifts
22,98.57,12/1/2003 0:00,12,2003,Mini Wheels Co.
41,100.0,1/15/2004 0:00,1,2004,Auto Canal Petit
37,100.0,2/20/2004 0:00,2,2004,"Australian Collectors, Co."
23,100.0,4/5/2004 0:00,4,2004,Vitachrome Inc.
28,100.0,5/18/2004 0:00,5,2004,Tekni Collectables Inc.
34,100.0,6/28/2004 0:00,6,2004,Gift Depot Inc.
45,92.83,7/23/2004 0:00,7,2004,La Rochelle Gifts
36,100.0,8/27/2004 0:00,8,2004,Marta's Replicas Co.
23,100.0,9/30/2004 0:00,9,2004,"Toys of Finland, Co."
41,100.0,10/15/2004 0:00,10,2004,Baane Mini Imports
46,94.74,11/2/2004 0:00,11,2004,Diecast Classics Inc.
42,100.0,11/15/2004 0:00,11,2004,Land of Toys Inc.
41,100.0,11/24/2004 0:00,11,2004,Salzburg Collectables
20,72.55,12/17/2004 0:00,12,2004,Souveniers And Things Co.
21,34.91,2/3/2005 0:00,2,2005,La Rochelle Gifts
42,76.36,3/3/2005 0:00,3,2005,FunGiftIdeas.com
24,100.0,4/8/2005 0:00,4,2005,"UK Collectables, Ltd."
66,100.0,5/13/2005 0:00,5,2005,Euro Shopping Channel
26,100.0,1/29/2003 0:00,1,2003,Baane Mini Imports
29,100.0,3/24/2003 0:00,3,2003,"Volvo Model Replicas, Co"
38,100.0,5/28/2003 0:00,5,2003,"Corrida Auto Replicas, Ltd"
37,100.0,7/24/2003 0:00,7,2003,Technics Stores Inc.
45,100.0,9/19/2003 0:00,9,2003,"Dragon Souveniers, Ltd."
21,100.0,10/20/2003 0:00,10,2003,Classic Legends Inc.
34,100.0,11/6/2003 0:00,11,2003,"Australian Gift Network, Co"
23,100.0,11/13/2003 0:00,11,2003,"Classic Gift Ideas, Inc"
42,100.0,11/25/2003 0:00,11,2003,"Saveley & Henriot, Co."
47,100.0,12/5/2003 0:00,12,2003,Canadian Gift Exchange Network
35,100.0,1/29/2004 0:00,1,2004,West Coast Collectables Co.
29,100.0,3/10/2004 0:00,3,2004,Cambridge Collectables Co.
34,100.0,5/4/2004 0:00,5,2004,Super Scale Inc.
32,100.0,6/15/2004 0:00,6,2004,"Tokyo Collectables, Ltd"
21,100.0,7/19/2004 0:00,7,2004,Souveniers And Things Co.
34,100.0,8/17/2004 0:00,8,2004,Amica Models & Co.
37,100.0,9/8/2004 0:00,9,2004,Scandinavian Gift Ideas
47,100.0,10/11/2004 0:00,10,2004,Auto Assoc. & Cie.
48,100.0,10/21/2004 0:00,10,2004,Mini Gifts Distributors Ltd.
40,100.0,11/4/2004 0:00,11,2004,Online Diecast Creations Co.
26,100.0,11/18/2004 0:00,11,2004,Mini Wheels Co.
30,100.0,11/29/2004 0:00,11,2004,"Australian Collectors, Co."
32,100.0,12/10/2004 0:00,12,2004,Mini Gifts Distributors Ltd.
41,100.0,1/20/2005 0:00,1,2005,Collectables For Less Inc.
36,100.0,2/17/2005 0:00,2,2005,Corporate Gift Ideas Co.
24,100.0,3/9/2005 0:00,3,2005,"Anna's Decorations, Ltd"
23,100.0,5/1/2005 0:00,5,2005,Quebec Home Shopping Network
50,100.0,5/31/2005 0:00,5,2005,Euro Shopping Channel
39,99.91,2/24/2003 0:00,2,2003,Land of Toys Inc.
29,96.34,4/29/2003 0:00,4,2003,"Australian Collectors, Co."
27,100.0,7/1/2003 0:00,7,2003,Lyon Souveniers
37,100.0,8/25/2003 0:00,8,2003,Toys4GrownUps.com
37,100.0,10/10/2003 0:00,10,2003,Corporate Gift Ideas Co.
27,100.0,10/28/2003 0:00,10,2003,Technics Stores Inc.
42,100.0,11/11/2003 0:00,11,2003,Daedalus Designs Imports
38,96.34,11/18/2003 0:00,11,2003,Herkku Gifts
24,100.0,12/1/2003 0:00,12,2003,Mini Wheels Co.
23,100.0,1/12/2004 0:00,1,2004,Osaka Souveniers Co.
47,100.0,2/20/2004 0:00,2,2004,"Australian Collectors, Co."
22,100.0,4/3/2004 0:00,4,2004,Motor Mint Distributors Inc.
44,100.0,5/18/2004 0:00,5,2004,Tekni Collectables Inc.
40,100.0,6/28/2004 0:00,6,2004,Gift Depot Inc.
22,100.0,7/23/2004 0:00,7,2004,La Rochelle Gifts
47,100.0,8/27/2004 0:00,8,2004,Marta's Replicas Co.
39,96.34,9/27/2004 0:00,9,2004,Atelier graphique
34,100.0,10/15/2004 0:00,10,2004,Mini Classics
45,100.0,11/2/2004 0:00,11,2004,Diecast Classics Inc.
20,100.0,11/15/2004 0:00,11,2004,Land of Toys Inc.
40,68.92,11/23/2004 0:00,11,2004,"Tokyo Collectables, Ltd"
26,51.15,12/17/2004 0:00,12,2004,Souveniers And Things Co.
39,100.0,2/2/2005 0:00,2,2005,"Australian Gift Network, Co"
50,44.51,3/3/2005 0:00,3,2005,FunGiftIdeas.com
45,100.0,4/7/2005 0:00,4,2005,Auto Canal Petit
45,100.0,5/13/2005 0:00,5,2005,Euro Shopping Channel
27,100.0,2/24/2003 0:00,2,2003,Land of Toys Inc.
46,100.0,4/29/2003 0:00,4,2003,"Australian Collectors, Co."
31,100.0,7/1/2003 0:00,7,2003,Lyon Souveniers
33,100.0,8/25/2003 0:00,8,2003,Toys4GrownUps.com
22,100.0,10/10/2003 0:00,10,2003,Corporate Gift Ideas Co.
20,100.0,10/28/2003 0:00,10,2003,Technics Stores Inc.
41,100.0,11/11/2003 0:00,11,2003,Daedalus Designs Imports
45,100.0,11/18/2003 0:00,11,2003,Herkku Gifts
49,100.0,12/1/2003 0:00,12,2003,Mini Wheels Co.
34,100.0,1/12/2004 0:00,1,2004,Osaka Souveniers Co.
49,100.0,2/20/2004 0:00,2,2004,"Australian Collectors, Co."
39,100.0,4/5/2004 0:00,4,2004,Vitachrome Inc.
43,100.0,5/18/2004 0:00,5,2004,Tekni Collectables Inc.
41,100.0,6/28/2004 0:00,6,2004,Gift Depot Inc.
36,100.0,7/23/2004 0:00,7,2004,La Rochelle Gifts
27,100.0,8/27/2004 0:00,8,2004,Marta's Replicas Co.
29,100.0,9/30/2004 0:00,9,2004,"Toys of Finland, Co."
20,100.0,10/15/2004 0:00,10,2004,Mini Classics
37,100.0,11/2/2004 0:00,11,2004,Diecast Classics Inc.
26,100.0,11/15/2004 0:00,11,2004,Land of Toys Inc.
39,76.67,11/23/2004 0:00,11,2004,"Tokyo Collectables, Ltd"
22,100.0,1/5/2005 0:00,1,2005,Technics Stores Inc.
22,100.0,2/2/2005 0:00,2,2005,"Australian Gift Network, Co"
21,86.77,3/3/2005 0:00,3,2005,FunGiftIdeas.com
66,100.0,4/8/2005 0:00,4,2005,"UK Collectables, Ltd."
56,100.0,5/13/2005 0:00,5,2005,Euro Shopping Channel
50,100.0,2/11/2003 0:00,2,2003,Danish Wholesale Imports
46,100.0,4/28/2003 0:00,4,2003,Salzburg Collectables
33,100.0,6/12/2003 0:00,6,2003,"Stylish Desk Decors, Co."
49,100.0,8/10/2003 0:00,8,2003,Mini Creations Ltd.
32,100.0,10/6/2003 0:00,10,2003,"Toys of Finland, Co."
44,100.0,10/23/2003 0:00,10,2003,Scandinavian Gift Ideas
24,100.0,11/8/2003 0:00,11,2003,Alpha Cognac
26,100.0,11/14/2003 0:00,11,2003,"Double Decker Gift Stores, Ltd"
45,100.0,11/26/2003 0:00,11,2003,Enaco Distributors
39,100.0,1/9/2004 0:00,1,2004,"Men 'R' US Retailers, Ltd."
49,100.0,2/19/2004 0:00,2,2004,Collectable Mini Designs Co.
20,100.0,5/7/2004 0:00,5,2004,Land of Toys Inc.
27,100.0,6/17/2004 0:00,6,2004,Quebec Home Shopping Network
30,100.0,7/21/2004 0:00,7,2004,Petit Auto
25,100.0,8/20/2004 0:00,8,2004,"Royal Canadian Collectables, Ltd."
24,100.0,9/10/2004 0:00,9,2004,Gifts4AllAges.com
22,100.0,10/14/2004 0:00,10,2004,"Classic Gift Ideas, Inc"
33,100.0,11/1/2004 0:00,11,2004,giftsbymail.co.uk
47,64.93,11/5/2004 0:00,11,2004,Baane Mini Imports
25,48.05,11/21/2004 0:00,11,2004,Classic Legends Inc.
26,75.47,12/2/2004 0:00,12,2004,Euro Shopping Channel
48,54.68,12/15/2004 0:00,12,2004,Reims Collectables
39,100.0,1/31/2005 0:00,1,2005,"Oulu Toy Supplies, Inc."
34,100.0,2/23/2005 0:00,2,2005,Corporate Gift Ideas Co.
32,100.0,3/17/2005 0:00,3,2005,Lyon Souveniers
64,100.0,4/1/2005 0:00,4,2005,The Sharp Gifts Warehouse
19,100.0,5/6/2005 0:00,5,2005,Gifts4AllAges.com
42,100.0,1/29/2003 0:00,1,2003,Baane Mini Imports
31,100.0,4/1/2003 0:00,4,2003,"La Corne D'abondance, Co."
22,100.0,5/28/2003 0:00,5,2003,"Corrida Auto Replicas, Ltd"
26,100.0,7/24/2003 0:00,7,2003,Technics Stores Inc.
20,100.0,9/19/2003 0:00,9,2003,"Dragon Souveniers, Ltd."
21,100.0,10/21/2003 0:00,10,2003,Mini Auto Werke
33,100.0,11/6/2003 0:00,11,2003,"Stylish Desk Decors, Co."
28,100.0,11/13/2003 0:00,11,2003,"Classic Gift Ideas, Inc"
26,100.0,11/25/2003 0:00,11,2003,"Saveley & Henriot, Co."
31,100.0,12/9/2003 0:00,12,2003,Diecast Collectables
48,100.0,2/4/2004 0:00,2,2004,Handji Gifts& Co
50,100.0,3/11/2004 0:00,3,2004,Mini Gifts Distributors Ltd.
28,100.0,5/4/2004 0:00,5,2004,Super Scale Inc.
26,100.0,6/15/2004 0:00,6,2004,Handji Gifts& Co
32,100.0,7/19/2004 0:00,7,2004,Souveniers And Things Co.
44,100.0,8/19/2004 0:00,8,2004,Diecast Classics Inc.
30,100.0,9/8/2004 0:00,9,2004,Scandinavian Gift Ideas
38,100.0,10/13/2004 0:00,10,2004,Marta's Replicas Co.
40,100.0,10/22/2004 0:00,10,2004,Canadian Gift Exchange Network
46,61.99,11/4/2004 0:00,11,2004,Online Diecast Creations Co.
26,100.0,11/19/2004 0:00,11,2004,"Volvo Model Replicas, Co"
27,100.0,11/29/2004 0:00,11,2004,"Australian Collectors, Co."
43,100.0,12/10/2004 0:00,12,2004,Mini Gifts Distributors Ltd.
35,65.63,1/20/2005 0:00,1,2005,"Anna's Decorations, Ltd"
37,100.0,2/17/2005 0:00,2,2005,Corporate Gift Ideas Co.
37,46.9,3/9/2005 0:00,3,2005,"Anna's Decorations, Ltd"
27,100.0,5/1/2005 0:00,5,2005,Quebec Home Shopping Network
38,100.0,5/31/2005 0:00,5,2005,La Rochelle Gifts
33,100.0,3/3/2003 0:00,3,2003,Cruz & Sons Co.
42,100.0,5/8/2003 0:00,5,2003,Marseille Mini Autos
42,100.0,7/2/2003 0:00,7,2003,Mini Gifts Distributors Ltd.
48,100.0,9/5/2003 0:00,9,2003,Collectables For Less Inc.
41,100.0,10/10/2003 0:00,10,2003,Corporate Gift Ideas Co.
30,100.0,11/4/2003 0:00,11,2003,"Anna's Decorations, Ltd"
27,100.0,11/12/2003 0:00,11,2003,Herkku Gifts
21,100.0,11/20/2003 0:00,11,2003,"Toms Spezialitten, Ltd"
20,100.0,12/2/2003 0:00,12,2003,Euro Shopping Channel
41,100.0,1/15/2004 0:00,1,2004,Auto Canal Petit
27,100.0,2/22/2004 0:00,2,2004,"Vida Sport, Ltd"
28,100.0,4/9/2004 0:00,4,2004,Danish Wholesale Imports
24,100.0,6/1/2004 0:00,6,2004,"UK Collectables, Ltd."
44,100.0,7/6/2004 0:00,7,2004,L'ordine Souveniers
50,100.0,8/2/2004 0:00,8,2004,Online Mini Collectables
21,100.0,8/30/2004 0:00,8,2004,"Vida Sport, Ltd"
33,100.0,10/4/2003 0:00,10,2003,"Blauer See Auto, Co."
33,100.0,10/16/2004 0:00,10,2004,"Toms Spezialitten, Ltd"
31,100.0,11/3/2004 0:00,11,2004,"Volvo Model Replicas, Co"
41,71.47,11/15/2004 0:00,11,2004,Land of Toys Inc.
45,79.65,11/24/2004 0:00,11,2004,Salzburg Collectables
33,85.39,1/6/2005 0:00,1,2005,Suominen Souveniers
45,76.0,2/3/2005 0:00,2,2005,La Rochelle Gifts
26,99.04,3/3/2005 0:00,3,2005,Scandinavian Gift Ideas
12,100.0,5/17/2005 0:00,5,2005,Salzburg Collectables
41,100.0,2/11/2003 0:00,2,2003,Danish Wholesale Imports
33,100.0,4/16/2003 0:00,4,2003,"Dragon Souveniers, Ltd."
46,100.0,6/3/2003 0:00,6,2003,Muscle Machine Inc
33,100.0,8/8/2003 0:00,8,2003,Mini Gifts Distributors Ltd.
20,100.0,9/28/2003 0:00,9,2003,Euro Shopping Channel
44,100.0,10/22/2003 0:00,10,2003,"Dragon Souveniers, Ltd."
33,100.0,11/6/2003 0:00,11,2003,L'ordine Souveniers
21,100.0,11/14/2003 0:00,11,2003,Mini Creations Ltd.
47,100.0,11/26/2003 0:00,11,2003,Super Scale Inc.
46,100.0,1/2/2004 0:00,1,2004,"Saveley & Henriot, Co."
32,100.0,2/12/2004 0:00,2,2004,"Clover Collections, Co."
42,100.0,3/19/2004 0:00,3,2004,CAF Imports
44,100.0,5/5/2004 0:00,5,2004,Suominen Souveniers
35,100.0,7/20/2004 0:00,7,2004,Diecast Classics Inc.
41,100.0,8/20/2004 0:00,8,2004,Mini Gifts Distributors Ltd.
46,100.0,9/9/2004 0:00,9,2004,Amica Models & Co.
31,100.0,10/14/2004 0:00,10,2004,"AV Stores, Co."
38,100.0,10/22/2004 0:00,10,2004,Heintze Collectables
42,64.0,11/5/2004 0:00,11,2004,Baane Mini Imports
33,57.22,11/20/2004 0:00,11,2004,"La Corne D'abondance, Co."
48,52.36,11/1/2004 0:00,11,2004,"Corrida Auto Replicas, Ltd"
42,100.0,12/15/2004 0:00,12,2004,Reims Collectables
32,100.0,1/23/2005 0:00,1,2005,Mini Gifts Distributors Ltd.
34,100.0,2/17/2005 0:00,2,2005,Mini Gifts Distributors Ltd.
33,69.12,3/17/2005 0:00,3,2005,Lyon Souveniers
36,100.0,5/5/2005 0:00,5,2005,Gift Depot Inc.
27,100.0,1/29/2003 0:00,1,2003,Baane Mini Imports
21,100.0,3/26/2003 0:00,3,2003,Mini Gifts Distributors Ltd.
21,100.0,5/28/2003 0:00,5,2003,"Corrida Auto Replicas, Ltd"
38,100.0,7/24/2003 0:00,7,2003,Technics Stores Inc.
30,100.0,9/19/2003 0:00,9,2003,"Dragon Souveniers, Ltd."
49,100.0,10/21/2003 0:00,10,2003,Mini Auto Werke
43,100.0,11/6/2003 0:00,11,2003,"Australian Gift Network, Co"
41,100.0,11/13/2003 0:00,11,2003,"Classic Gift Ideas, Inc"
38,100.0,11/25/2003 0:00,11,2003,"Saveley & Henriot, Co."
28,100.0,12/5/2003 0:00,12,2003,Canadian Gift Exchange Network
43,100.0,2/2/2004 0:00,2,2004,Auto Assoc. & Cie.
25,100.0,3/11/2004 0:00,3,2004,Mini Gifts Distributors Ltd.
38,100.0,5/4/2004 0:00,5,2004,Super Scale Inc.
41,100.0,6/15/2004 0:00,6,2004,"Tokyo Collectables, Ltd"
28,100.0,7/19/2004 0:00,7,2004,Souveniers And Things Co.
25,100.0,8/19/2004 0:00,8,2004,Diecast Classics Inc.
41,100.0,9/8/2004 0:00,9,2004,Scandinavian Gift Ideas
39,100.0,10/11/2004 0:00,10,2004,Auto Assoc. & Cie.
21,100.0,10/22/2004 0:00,10,2004,Canadian Gift Exchange Network
27,100.0,11/4/2004 0:00,11,2004,Online Diecast Creations Co.
33,99.21,11/18/2004 0:00,11,2004,Mini Wheels Co.
29,100.0,11/29/2004 0:00,11,2004,"Australian Collectors, Co."
